KEY,URL,NUMBER
吴亦凡被激光照射,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CE%E2%D2%E0%B7%B2%B1%BB%BC%A4%B9%E2%D5%D5%C9%E4,8043728
王一博拍黄瓜,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CD%F5%D2%BB%B2%A9%C5%C4%BB%C6%B9%CF,7529066
三星折叠屏5G手机,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C8%FD%D0%C7%D5%DB%B5%FE%C6%C15G%CA%D6%BB%FA,6103301
PDX101造假录音,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=PDX101%D4%EC%BC%D9%C2%BC%D2%F4,5985732
热依扎新恋情,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C8%C8%D2%C0%D4%FA%D0%C2%C1%B5%C7%E9,5148842
15万包裹被销毁,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=15%CD%F2%B0%FC%B9%FC%B1%BB%CF%FA%BB%D9,4745704
5G是把双刃剑,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=5G%CA%C7%B0%D1%CB%AB%C8%D0%BD%A3,4409968
田馥甄晒宵夜,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CC%EF%F0%A5%D5%E7%C9%B9%CF%FC%D2%B9,4339525
医院职工拉人住院,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%D2%BD%D4%BA%D6%B0%B9%A4%C0%AD%C8%CB%D7%A1%D4%BA,4323149
联邦快递回应涉枪,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C1%AA%B0%EE%BF%EC%B5%DD%BB%D8%D3%A6%C9%E6%C7%B9,4290285
松鼠拼拼回应传闻,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CB%C9%CA%F3%C6%B4%C6%B4%BB%D8%D3%A6%B4%AB%CE%C5,4208030
打老师案维持原判,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%B4%F2%C0%CF%CA%A6%B0%B8%CE%AC%B3%D6%D4%AD%C5%D0,4129730
阿什利科尔退役,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%B0%A2%CA%B2%C0%FB%BF%C6%B6%FB%CD%CB%D2%DB,4055884
袭击记者保释被拒,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CF%AE%BB%F7%BC%C7%D5%DF%B1%A3%CA%CD%B1%BB%BE%DC,3864497
希努尔获政府补助,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CF%A3%C5%AC%B6%FB%BB%F1%D5%FE%B8%AE%B2%B9%D6%FA,3839329
人类为冰川办葬礼,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C8%CB%C0%E0%CE%AA%B1%F9%B4%A8%B0%EC%D4%E1%C0%F1,3717312
中国女篮夺冠,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%D6%D0%B9%FA%C5%AE%C0%BA%B6%E1%B9%DA,3710702
小学初中公民同招,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%D0%A1%D1%A7%B3%F5%D6%D0%B9%AB%C3%F1%CD%AC%D5%D0,3683232
香港刘娟娟病逝,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CF%E3%B8%DB%C1%F5%BE%EA%BE%EA%B2%A1%CA%C5,3639707
苏炳添无缘决赛,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CB%D5%B1%FE%CC%ED%CE%DE%D4%B5%BE%F6%C8%FC,3223732
英政府报告遭泄露,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%D3%A2%D5%FE%B8%AE%B1%A8%B8%E6%D4%E2%D0%B9%C2%B6,3043701
武磊首发险造点球,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CE%E4%C0%DA%CA%D7%B7%A2%CF%D5%D4%EC%B5%E3%C7%F2,2959257
哪吒票房破40亿,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C4%C4%DF%B8%C6%B1%B7%BF%C6%C640%D2%DA,2754721
吕挺被批准为烈士,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C2%C0%CD%A6%B1%BB%C5%FA%D7%BC%CE%AA%C1%D2%CA%BF,2647279
花式逃票480次,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%BB%A8%CA%BD%CC%D3%C6%B1480%B4%CE,2498491
地球快没沙子了,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%B5%D8%C7%F2%BF%EC%C3%BB%C9%B3%D7%D3%C1%CB,2341795
五个一工程奖名单,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CE%E5%B8%F6%D2%BB%B9%A4%B3%CC%BD%B1%C3%FB%B5%A5,2326104
帝吧出征香港,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%B5%DB%B0%C9%B3%F6%D5%F7%CF%E3%B8%DB,2204306
深圳本地股涨停潮,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C9%EE%DB%DA%B1%BE%B5%D8%B9%C9%D5%C7%CD%A3%B3%B1,2076726
泰国儒艮宝宝离世,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CC%A9%B9%FA%C8%E5%F4%DE%B1%A6%B1%A6%C0%EB%CA%C0,2041693
联通回应4G降速,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C1%AA%CD%A8%BB%D8%D3%A64G%BD%B5%CB%D9,1995552
中国医师节,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%D6%D0%B9%FA%D2%BD%CA%A6%BD%DA,1941895
徐冬冬饰演小龙女,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%D0%EC%B6%AC%B6%AC%CA%CE%D1%DD%D0%A1%C1%FA%C5%AE,1823135
冉莹颖承认生三胎,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C8%BD%D3%A8%D3%B1%B3%D0%C8%CF%C9%FA%C8%FD%CC%A5,1751656
上海大学副教授失联,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C9%CF%BA%A3%B4%F3%D1%A7%B8%B1%BD%CC%CA%DA%CA%A7%C1%AA,1731944
演员彼得方达去世,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%D1%DD%D4%B1%B1%CB%B5%C3%B7%BD%B4%EF%C8%A5%CA%C0,1730674
何超莲探班窦骁,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%BA%CE%B3%AC%C1%AB%CC%BD%B0%E0%F1%BC%E6%E7,1629164
埃神办完入籍手续,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%B0%A3%C9%F1%B0%EC%CD%EA%C8%EB%BC%AE%CA%D6%D0%F8,1628418
具惠善删婚变内容,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%BE%DF%BB%DD%C9%C6%C9%BE%BB%E9%B1%E4%C4%DA%C8%DD,1626863
李嘉诚捐款5亿,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C0%EE%BC%CE%B3%CF%BE%E8%BF%EE5%D2%DA,1568290
哪吒票房破41亿,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C4%C4%DF%B8%C6%B1%B7%BF%C6%C641%D2%DA,1499230
何雯娜否认怀孕,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%BA%CE%F6%A9%C4%C8%B7%F1%C8%CF%BB%B3%D4%D0,1483673
深圳被委以重任,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C9%EE%DB%DA%B1%BB%CE%AF%D2%D4%D6%D8%C8%CE,1463351
具惠善安宰贤离婚,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%BE%DF%BB%DD%C9%C6%B0%B2%D4%D7%CF%CD%C0%EB%BB%E9,1450891
烈士吕挺告别仪式,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C1%D2%CA%BF%C2%C0%CD%A6%B8%E6%B1%F0%D2%C7%CA%BD,1442663
2020考研报名时间,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=2020%BF%BC%D1%D0%B1%A8%C3%FB%CA%B1%BC%E4,1398396
少年问道退出金马,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C9%D9%C4%EA%CE%CA%B5%C0%CD%CB%B3%F6%BD%F0%C2%ED,1252797
黄磊晒二女儿画作,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%BB%C6%C0%DA%C9%B9%B6%FE%C5%AE%B6%F9%BB%AD%D7%F7,1243563
蔚来澄清回科创板,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CE%B5%C0%B4%B3%CE%C7%E5%BB%D8%BF%C6%B4%B4%B0%E5,1209999
男子扫码不付钱,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C4%D0%D7%D3%C9%A8%C2%EB%B2%BB%B8%B6%C7%AE,1199555
香港刘娟娟病逝,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CF%E3%B8%DB%C1%F5%BE%EA%BE%EA%B2%A1%CA%C5,195785
范冰冰分手内幕,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%B7%B6%B1%F9%B1%F9%B7%D6%CA%D6%C4%DA%C4%BB,79098
上海大学副教授失联,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C9%CF%BA%A3%B4%F3%D1%A7%B8%B1%BD%CC%CA%DA%CA%A7%C1%AA,75221
泰国儒艮宝宝离世,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CC%A9%B9%FA%C8%E5%F4%DE%B1%A6%B1%A6%C0%EB%CA%C0,67611
具惠善取关安宰贤,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%BE%DF%BB%DD%C9%C6%C8%A1%B9%D8%B0%B2%D4%D7%CF%CD,61356
钱塘江鬼王潮将至,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C7%AE%CC%C1%BD%AD%B9%ED%CD%F5%B3%B1%BD%AB%D6%C1,61039
女白领发量剩3成,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C5%AE%B0%D7%C1%EC%B7%A2%C1%BF%CA%A33%B3%C9,57738
诺基亚7.2曝光,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C5%B5%BB%F9%D1%C77.2%C6%D8%B9%E2,54353
徐冬冬饰演小龙女,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%D0%EC%B6%AC%B6%AC%CA%CE%D1%DD%D0%A1%C1%FA%C5%AE,53998
吕挺被批准为烈士,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C2%C0%CD%A6%B1%BB%C5%FA%D7%BC%CE%AA%C1%D2%CA%BF,50420
外部势力乱港实录,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CD%E2%B2%BF%CA%C6%C1%A6%C2%D2%B8%DB%CA%B5%C2%BC,49439
网约车费用1万四,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CD%F8%D4%BC%B3%B5%B7%D1%D3%C31%CD%F2%CB%C4,49009
黄海波复出,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%BB%C6%BA%A3%B2%A8%B8%B4%B3%F6,45416
具惠善安宰贤离婚,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%BE%DF%BB%DD%C9%C6%B0%B2%D4%D7%CF%CD%C0%EB%BB%E9,45284
这才是中国青年,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%D5%E2%B2%C5%CA%C7%D6%D0%B9%FA%C7%E0%C4%EA,45126
驴友私穿贡嘎去世,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C2%BF%D3%D1%CB%BD%B4%A9%B9%B1%B8%C2%C8%A5%CA%C0,44924
唐僧阿sir现身了,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CC%C6%C9%AE%B0%A2sir%CF%D6%C9%ED%C1%CB,44577
男孩吃面包身亡,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C4%D0%BA%A2%B3%D4%C3%E6%B0%FC%C9%ED%CD%F6,41343
两岁男童误吞水银,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C1%BD%CB%EA%C4%D0%CD%AF%CE%F3%CD%CC%CB%AE%D2%F8,40291
演员彼得方达去世,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%D1%DD%D4%B1%B1%CB%B5%C3%B7%BD%B4%EF%C8%A5%CA%C0,36781
波特兰市警告暴力,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%B2%A8%CC%D8%C0%BC%CA%D0%BE%AF%B8%E6%B1%A9%C1%A6,36351
冰激淋引起的血案,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%B1%F9%BC%A4%C1%DC%D2%FD%C6%F0%B5%C4%D1%AA%B0%B8,36283
江西托管所凶案,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%BD%AD%CE%F7%CD%D0%B9%DC%CB%F9%D0%D7%B0%B8,33804
假扮外卖员打女童,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%BC%D9%B0%E7%CD%E2%C2%F4%D4%B1%B4%F2%C5%AE%CD%AF,32910
何超莲探班窦骁,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%BA%CE%B3%AC%C1%AB%CC%BD%B0%E0%F1%BC%E6%E7,32478
男子扫码不付钱,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C4%D0%D7%D3%C9%A8%C2%EB%B2%BB%B8%B6%C7%AE,32018
中国新说唱,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%D6%D0%B9%FA%D0%C2%CB%B5%B3%AA,31875
少年问道退出金马,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C9%D9%C4%EA%CE%CA%B5%C0%CD%CB%B3%F6%BD%F0%C2%ED,31452
冉莹颖承认生三胎,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C8%BD%D3%A8%D3%B1%B3%D0%C8%CF%C9%FA%C8%FD%CC%A5,30156
联邦快递涉枪被查,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C1%AA%B0%EE%BF%EC%B5%DD%C9%E6%C7%B9%B1%BB%B2%E9,28144
岳云鹏当爷爷,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%D4%C0%D4%C6%C5%F4%B5%B1%D2%AF%D2%AF,26896
曝林书豪加盟首钢,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C6%D8%C1%D6%CA%E9%BA%C0%BC%D3%C3%CB%CA%D7%B8%D6,26522
乘奥迪车闯会场,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%B3%CB%B0%C2%B5%CF%B3%B5%B4%B3%BB%E1%B3%A1,24079
黄磊晒二女儿画作,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%BB%C6%C0%DA%C9%B9%B6%FE%C5%AE%B6%F9%BB%AD%D7%F7,23508
美国海关电脑故障,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C3%C0%B9%FA%BA%A3%B9%D8%B5%E7%C4%D4%B9%CA%D5%CF,23435
还1.4万要一半房,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%BB%B91.4%CD%F2%D2%AA%D2%BB%B0%EB%B7%BF,23270
赵丽颖将补办婚礼,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%D5%D4%C0%F6%D3%B1%BD%AB%B2%B9%B0%EC%BB%E9%C0%F1,22329
港姐之母陈紫莲离世,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%B8%DB%BD%E3%D6%AE%C4%B8%B3%C2%D7%CF%C1%AB%C0%EB%CA%C0,22202
黄晓明中年王子病,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%BB%C6%CF%FE%C3%F7%D6%D0%C4%EA%CD%F5%D7%D3%B2%A1,21727
熊黛林为老公庆生,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%D0%DC%F7%EC%C1%D6%CE%AA%C0%CF%B9%AB%C7%EC%C9%FA,21455
北师大退档25人,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%B1%B1%CA%A6%B4%F3%CD%CB%B5%B525%C8%CB,20784
林志玲爸爸赞女婿,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C1%D6%D6%BE%C1%E1%B0%D6%B0%D6%D4%DE%C5%AE%D0%F6,20628
莫斯科大巴事故,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C4%AA%CB%B9%BF%C6%B4%F3%B0%CD%CA%C2%B9%CA,20148
沈吉线全线封闭,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C9%F2%BC%AA%CF%DF%C8%AB%CF%DF%B7%E2%B1%D5,19772
香港191亿纾民困,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CF%E3%B8%DB191%D2%DA%E7%A3%C3%F1%C0%A7,19430
美国下起了塑料雨,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%C3%C0%B9%FA%CF%C2%C6%F0%C1%CB%CB%DC%C1%CF%D3%EA,18758
孙俪请求停止偷拍,http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&rsv_dl=fyb_top&fr=top1000&wd=%CB%EF%D9%B3%C7%EB%C7%F3%CD%A3%D6%B9%CD%B5%C5%C4,18533
